"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17957","TC019_@sanity_EventsLandingPage_Search Filter Clear (Cross) Button Functionality on Desktop/Mobile","chromium","Fri Jun 27 15:14:02 IST 2025","passed","Fri Jun 27 15:14:20 IST 2025","","Events_Landing_Page/Events_Landing_Page.spec.ts","",""
"","9276","TC010_@sanity_MemberLandingPage_ Validate the working of Specialty dropdown filter on member landing page in desktop view/iPad view, mobile view","webkit","Fri Jun 27 15:33:26 IST 2025","passed","Fri Jun 27 15:33:36 IST 2025","","Member_Landing_Page/Member_Landing_Page.spec.ts","",""
"","8806","TC006_@sanity_EventsLandingPage_Validate Events Type Filter - Community Selection on Desktop/Mobile","MobileChrome","Fri Jun 27 15:42:09 IST 2025","passed","Fri Jun 27 15:42:18 IST 2025","","Events_Landing_Page/Events_Landing_Page.spec.ts","",""
"","3435","TC014_@sanity_Clinical Trial Landing Page_Validate the UI of Age group filter on clinical trial landing page in desktop view/iPad view/mobile view","MobileChrome","Fri Jun 27 15:35:38 IST 2025","passed","Fri Jun 27 15:35:42 IST 2025","","Clinical_Trial_Landing/Clinical_Trial_Landing.spec.ts","",""
"","2831","TC003_@sanity_Clinical Trial Landing Page_Validating the UI of filters present in Clinical Trial landing page","chromium","Fri Jun 27 14:56:16 IST 2025","passed","Fri Jun 27 14:56:19 IST 2025","","Clinical_Trial_Landing/Clinical_Trial_Landing.spec.ts","",""
"","13466","TC015_@sanity_Clinical Trial Landing Page_Validate the working of Age group dropdown filter on clinical trial landing page in desktop view/iPad view, mobile view","MobileChrome","Fri Jun 27 15:35:42 IST 2025","passed","Fri Jun 27 15:35:55 IST 2025","","Clinical_Trial_Landing/Clinical_Trial_Landing.spec.ts","",""
"","2680","TC003_@sanity_EventsLandingPage_Verify Upcoming Events Tab Default State on Desktop/Mobile","chromium","Fri Jun 27 15:11:19 IST 2025","passed","Fri Jun 27 15:11:22 IST 2025","","Events_Landing_Page/Events_Landing_Page.spec.ts","",""
"","2605","TC005_@sanity_EventsLandingPage_Verify Events Type Filter Default State on Desktop/Mobile","chromium","Fri Jun 27 15:11:25 IST 2025","passed","Fri Jun 27 15:11:27 IST 2025","","Events_Landing_Page/Events_Landing_Page.spec.ts","",""
"","4506","TC004_@sanity_DCI Blog Page_Validate UI of the DCI Blog page, validate the CTA, Pagination , filters, Blog Tiles visibility and their redirection on Desktop/Mobile","MobileChrome","Fri Jun 27 15:37:02 IST 2025","passed","Fri Jun 27 15:37:06 IST 2025","","DCI_Blog_Landing/DCI_Blog_Landing.spec.ts","",""
"","4059","TC005_@sanity_MemberLandingPage_ Validating the UI of filters present in Member landing page","webkit","Fri Jun 27 15:31:46 IST 2025","passed","Fri Jun 27 15:31:50 IST 2025","","Member_Landing_Page/Member_Landing_Page.spec.ts","",""
